Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2013,Alabama,"Autauga County, AL","54,747",8.28735,2.09820,5.15472,13.32722
2013,Alabama,"Baldwin County, AL","194,978",12.56366,2.06121,9.16474,17.22378
2013,Alabama,"Barbour County, AL","26,946",4.40379,1.41233,2.44724,7.92711
2013,Alabama,"Bibb County, AL","22,510",14.00053,3.74991,8.49094,23.08517
2013,Alabama,"Blount County, AL","57,630",18.71374,3.92270,12.56535,27.87579
2013,Alabama,"Bullock County, AL","10,557",5.61757,2.00572,2.94686,10.71062
2013,Alabama,"Butler County, AL","20,359",6.66529,2.05193,3.78152,11.74922
2013,Alabama,"Calhoun County, AL","116,528",9.53919,1.96919,6.44044,14.12710
2013,Alabama,"Chambers County, AL","34,125",10.25718,2.73058,6.23920,16.86755
2013,Alabama,"Cherokee County, AL","26,022",13.70958,3.60030,8.38957,22.40565
2013,Alabama,"Chilton County, AL","43,617",14.33242,3.39311,9.17186,22.39865
2013,Alabama,"Choctaw County, AL","13,401",6.15938,2.06120,3.34726,11.33769
2013,Alabama,"Clarke County, AL","25,131",6.20655,1.88944,3.54125,10.87954
2013,Alabama,"Clay County, AL","13,406",7.45294,2.40688,4.12630,13.46364
2013,Alabama,"Cleburne County, AL","14,974",10.91489,3.25886,6.28795,18.94930
2013,Alabama,"Coffee County, AL","50,709",7.19790,1.90702,4.38781,11.81111
2013,Alabama,"Colbert County, AL","54,544",6.42021,1.69726,3.91711,10.52395
2013,Alabama,"Conecuh County, AL","12,908",12.26668,3.77854,6.95781,21.62995
2013,Alabama,"Coosa County, AL","11,252",9.89026,3.15791,5.50843,17.76227
2013,Alabama,"Covington County, AL","37,820",6.59425,1.82399,3.94022,11.03561
2013,Alabama,"Crenshaw County, AL","13,847",6.15771,2.04280,3.36142,11.28190
2013,Alabama,"Cullman County, AL","80,704",16.40037,3.25510,11.23480,23.94558
2013,Alabama,"Dale County, AL","49,807",9.39918,2.37507,5.85143,15.10261
2013,Alabama,"Dallas County, AL","41,981",5.42920,1.56451,3.18246,9.26465
2013,Alabama,"DeKalb County, AL","70,881",24.12798,4.45917,16.94366,34.36578
2013,Alabama,"Elmore County, AL","80,557",5.64836,1.41596,3.52768,9.04338
2013,Alabama,"Escambia County, AL","37,775",26.96242,5.72450,18.01669,40.35703
2013,Alabama,"Etowah County, AL","103,891",17.91767,3.21760,12.70306,25.27668
2013,Alabama,"Fayette County, AL","16,837",14.72354,4.13645,8.73477,24.82205
2013,Alabama,"Franklin County, AL","31,566",18.16886,4.43175,11.48427,28.75420
2013,Alabama,"Geneva County, AL","26,688",9.49461,2.66214,5.63818,15.99201
2013,Alabama,"Greene County, AL","8,749",4.80796,1.79211,2.46206,9.39148
2013,Alabama,"Hale County, AL","15,249",5.27721,1.78361,2.85257,9.76539
2013,Alabama,"Henry County, AL","17,128",6.16849,1.99984,3.40840,11.16607
2013,Alabama,"Houston County, AL","103,691",14.08317,2.72732,9.73223,20.38426
2013,Alabama,"Jackson County, AL","52,986",9.00872,2.24694,5.63948,14.39288
2013,Alabama,"Jefferson County, AL","659,434",14.77465,1.40630,12.27513,17.78399
2013,Alabama,"Lamar County, AL","14,214",8.05778,2.61148,4.45328,14.58371
2013,Alabama,"Lauderdale County, AL","92,738",6.70205,1.57157,4.30463,10.43152
2013,Alabama,"Lawrence County, AL","33,553",10.09185,2.65921,6.16557,16.51738
2013,Alabama,"Lee County, AL","151,943",6.42487,1.37764,4.27703,9.65283
2013,Alabama,"Limestone County, AL","88,931",5.95266,1.44381,3.77028,9.39682
2013,Alabama,"Lowndes County, AL","10,666",4.69646,1.68752,2.45504,8.98610
2013,Alabama,"Macon County, AL","20,043",5.41363,1.73982,3.00497,9.75518
2013,Alabama,"Madison County, AL","346,764",7.60070,1.21641,5.58586,10.34248
2013,Alabama,"Marengo County, AL","20,123",4.41915,1.45514,2.42212,8.06501
2013,Alabama,"Marion County, AL","30,236",6.01818,1.78642,3.47728,10.41867
2013,Alabama,"Marshall County, AL","94,358",14.47250,2.84662,9.94616,21.06266
2013,Alabama,"Mobile County, AL","414,025",14.90793,1.72656,11.90671,18.66703
2013,Alabama,"Monroe County, AL","22,174",9.24995,2.71360,5.37565,15.92191
2013,Alabama,"Montgomery County, AL","228,261",5.11987,1.04564,3.47082,7.55285
2013,Alabama,"Morgan County, AL","119,625",14.76006,2.69001,10.41308,20.92385
2013,Alabama,"Perry County, AL","10,005",5.02203,1.80841,2.62203,9.62057
2013,Alabama,"Pickens County, AL","19,309",10.17753,2.95983,5.93889,17.44361
2013,Alabama,"Pike County, AL","33,728",5.86944,1.71796,3.41452,10.09149
2013,Alabama,"Randolph County, AL","22,558",8.67860,2.51037,5.07702,14.83547
2013,Alabama,"Russell County, AL","59,219",10.12001,2.40992,6.46013,15.85354
2013,Alabama,"St. Clair County, AL","85,831",22.27773,3.97053,15.83312,31.34978
2013,Alabama,"Shelby County, AL","204,088",14.52009,2.23269,10.79666,19.52927
2013,Alabama,"Sumter County, AL","13,398",3.90335,1.41486,2.03062,7.50528
2013,Alabama,"Talladega County, AL","81,604",11.08810,2.42778,7.32242,16.79425
2013,Alabama,"Tallapoosa County, AL","41,039",8.77376,2.30691,5.36641,14.34720
2013,Alabama,"Tuscaloosa County, AL","201,192",15.15477,2.30791,11.29983,20.32713
2013,Alabama,"Walker County, AL","65,790",34.03617,5.76496,24.58666,47.12315
2013,Alabama,"Washington County, AL","16,898",6.64448,2.09058,3.72861,11.84313
2013,Alabama,"Wilcox County, AL","11,148",4.55799,1.63824,2.38228,8.72259
2013,Alabama,"Winston County, AL","24,190",9.78044,2.75480,5.79527,16.50867
2013,Alaska,"Aleutians East Borough, AK","3,346",10.73673,3.92509,5.55842,20.74285
2013,Alaska,"Aleutians West Census Area, AK","5,779",9.37385,3.44728,4.83685,18.17086
2013,Alaska,"Anchorage Borough, AK","301,801",16.53483,2.08792,12.94631,21.11932
2013,Alaska,"Bethel Census Area, AK","17,855",8.09587,2.44695,4.63559,14.14039
2013,Alaska,"Bristol Bay Borough, AK",952,13.81584,6.40223,6.20112,30.78654
2013,Alaska,"Denali Borough, AK","1,948",11.18856,4.83147,5.24983,23.84992
2013,Alaska,"Dillingham Census Area, AK","4,976",14.88451,5.40748,7.73359,28.65616
2013,Alaska,"Fairbanks North Star Borough, AK","101,046",12.08313,2.44691,8.21703,17.77017
2013,Alaska,"Haines Borough, AK","2,561",8.89762,3.86864,4.15704,19.04696
2013,Alaska,"Juneau Borough, AK","32,605",16.14159,3.94899,10.18894,25.57685
2013,Alaska,"Kenai Peninsula Borough, AK","57,039",16.26231,3.51500,10.79181,24.50675
2013,Alaska,"Ketchikan Gateway Borough, AK","13,748",13.24937,3.92711,7.66044,22.92011
2013,Alaska,"Kodiak Island Borough, AK","14,091",13.45320,3.96258,7.80308,23.20245
2013,Alaska,"Lake and Peninsula Borough, AK","1,670",12.06662,5.31969,5.58928,26.05441
2013,Alaska,"Matanuska-Susitna Borough, AK","95,940",14.61221,2.84295,10.07997,21.18281
2013,Alaska,"Nome Census Area, AK","9,851",8.28442,2.82798,4.45385,15.41189
2013,Alaska,"North Slope Borough, AK","9,383",9.43709,3.17595,5.11294,17.42326
2013,Alaska,"Northwest Arctic Borough, AK","7,735",5.23812,2.14959,2.53528,10.82424
2013,Alaska,"Prince of Wales-Outer Ketchikan Census Area, AK","6,443",10.96318,3.60248,6.01455,19.98514
2013,Alaska,"Sitka Borough, AK","8,980",12.11812,3.91856,6.70464,21.90608
2013,Alaska,"Skagway-Hoonah-Angoon Census Area, AK","3,134",8.44217,3.56859,4.01327,17.76116
2013,Alaska,"Southeast Fairbanks Census Area, AK","6,996",10.26283,3.47745,5.53992,19.01686
2013,Alaska,"Valdez-Cordova Census Area, AK","6,809",15.51016,5.00188,8.59324,27.99832
2013,Alaska,"Wade Hampton Census Area, AK","7,980",7.93760,2.88152,4.12553,15.27480
2013,Alaska,"Wrangell-Petersburg Census Area, AK","5,738",13.96724,4.73369,7.53759,25.88282
2013,Alaska,"Yakutat Borough, AK",652,10.57375,4.40087,5.07407,22.03668
2013,Alaska,"Yukon-Koyukuk Census Area, AK","5,554",10.69961,3.77491,5.64978,20.26590
2013,Arizona,"Apache County, AZ","72,333",7.92315,1.89520,5.04791,12.43471
2013,Arizona,"Cochise County, AZ","129,664",12.78430,2.37012,8.96688,18.22638
2013,Arizona,"Coconino County, AZ","136,788",18.62848,3.02427,13.63296,25.45843
