Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2019,Alabama,"Autauga County, AL","55,769",9.18469,2.28356,5.75687,14.65309
2019,Alabama,"Baldwin County, AL","223,565",14.51285,2.16156,10.88820,19.34367
2019,Alabama,"Barbour County, AL","24,657",5.69365,1.80773,3.18017,10.19557
2019,Alabama,"Bibb County, AL","22,313",19.37528,4.98968,11.95904,31.38888
2019,Alabama,"Blount County, AL","57,840",20.26870,4.16384,13.71020,29.96421
2019,Alabama,"Bullock County, AL","10,144",8.25759,2.91118,4.36222,15.63429
2019,Alabama,"Butler County, AL","19,501",10.19536,3.05510,5.86294,17.73187
2019,Alabama,"Calhoun County, AL","114,070",17.49647,3.07897,12.48604,24.51940
2019,Alabama,"Chambers County, AL","33,244",13.46980,3.47070,8.31327,21.82840
2019,Alabama,"Cherokee County, AL","26,254",21.67706,5.32494,13.65914,34.40761
2019,Alabama,"Chilton County, AL","44,313",18.73313,4.20261,12.25168,28.64337
2019,Alabama,"Choctaw County, AL","12,577",7.98340,2.64824,4.35836,14.62638
2019,Alabama,"Clarke County, AL","23,651",10.59558,3.10304,6.16270,18.22284
2019,Alabama,"Clay County, AL","13,265",12.17932,3.82508,6.84119,21.68870
2019,Alabama,"Cleburne County, AL","14,952",13.91047,4.08189,8.08105,23.94457
2019,Alabama,"Coffee County, AL","52,639",9.75902,2.46365,6.07751,15.67373
2019,Alabama,"Colbert County, AL","55,241",11.68977,2.82026,7.42293,18.41449
2019,Alabama,"Conecuh County, AL","12,055",14.87237,4.54255,8.47038,26.11158
2019,Alabama,"Coosa County, AL","10,677",12.01943,3.80845,6.71969,21.49985
2019,Alabama,"Covington County, AL","37,082",11.99679,3.09731,7.39799,19.45888
2019,Alabama,"Crenshaw County, AL","13,811",9.52381,3.09130,5.25914,17.25047
2019,Alabama,"Cullman County, AL","83,644",17.94976,3.44402,12.44294,25.89469
2019,Alabama,"Dale County, AL","49,294",11.00383,2.71760,6.91746,17.50567
2019,Alabama,"Dallas County, AL","37,182",6.59600,1.88764,3.87867,11.21775
2019,Alabama,"DeKalb County, AL","71,506",27.18130,4.83337,19.33240,38.22125
2019,Alabama,"Elmore County, AL","81,575",10.33487,2.32659,6.75064,15.82507
2019,Alabama,"Escambia County, AL","36,569",34.43196,6.94437,23.44934,50.56229
2019,Alabama,"Etowah County, AL","102,460",19.77677,3.46049,14.13894,27.66378
2019,Alabama,"Fayette County, AL","16,279",23.05367,6.18613,13.97159,38.04732
2019,Alabama,"Franklin County, AL","31,587",16.63611,4.11452,10.45018,26.48058
2019,Alabama,"Geneva County, AL","26,309",11.96305,3.27921,7.17866,19.93669
2019,Alabama,"Greene County, AL","8,104",6.26903,2.32525,3.21899,12.21101
2019,Alabama,"Hale County, AL","14,669",6.83217,2.28705,3.71179,12.57758
2019,Alabama,"Henry County, AL","17,125",7.93260,2.53681,4.41394,14.25723
2019,Alabama,"Houston County, AL","106,240",11.77931,2.37486,8.02260,17.29456
2019,Alabama,"Jackson County, AL","51,672",11.09727,2.68988,7.03130,17.51374
2019,Alabama,"Jefferson County, AL","658,539",28.75435,2.02139,25.06551,32.98736
2019,Alabama,"Lamar County, AL","13,817",9.77085,3.13731,5.42542,17.59776
2019,Alabama,"Lauderdale County, AL","93,028",12.58014,2.58730,8.50642,18.60629
2019,Alabama,"Lawrence County, AL","32,851",14.65772,3.68780,9.14032,23.50500
2019,Alabama,"Lee County, AL","165,015",7.82095,1.56810,5.33759,11.46013
2019,Alabama,"Limestone County, AL","99,136",8.34308,1.86838,5.45984,12.74734
2019,Alabama,"Lowndes County, AL","9,726",6.51610,2.32500,3.41941,12.41918
2019,Alabama,"Macon County, AL","18,065",7.44887,2.36548,4.16005,13.33989
2019,Alabama,"Madison County, AL","372,547",19.58715,2.11664,15.87693,24.16615
2019,Alabama,"Marengo County, AL","18,919",6.08034,1.97752,3.35415,11.02474
2019,Alabama,"Marion County, AL","29,826",8.56830,2.46962,5.02187,14.62273
2019,Alabama,"Marshall County, AL","96,751",19.14392,3.45486,13.55005,27.05030
2019,Alabama,"Mobile County, AL","413,516",13.23307,1.61016,10.45161,16.75515
2019,Alabama,"Monroe County, AL","20,689",11.17402,3.24338,6.52638,19.13366
2019,Alabama,"Montgomery County, AL","226,074",6.39010,1.23624,4.41672,9.24485
2019,Alabama,"Morgan County, AL","119,630",15.74222,2.81500,11.17491,22.17515
2019,Alabama,"Perry County, AL","8,940",7.42247,2.65019,3.89368,14.15208
2019,Alabama,"Pickens County, AL","19,940",12.83894,3.64810,7.57488,21.76008
2019,Alabama,"Pike County, AL","33,034",7.45798,2.14150,4.37846,12.70405
2019,Alabama,"Randolph County, AL","22,781",12.26953,3.43426,7.29091,20.64785
2019,Alabama,"Russell County, AL","58,098",22.34666,4.51085,15.21558,32.82754
2019,Alabama,"St. Clair County, AL","89,735",24.39541,4.16846,17.57308,33.86728
2019,Alabama,"Shelby County, AL","218,176",16.76917,2.38977,12.73382,22.08398
2019,Alabama,"Sumter County, AL","12,358",5.08368,1.83221,2.65291,9.74341
2019,Alabama,"Talladega County, AL","80,226",10.77934,2.38277,7.09043,16.38551
2019,Alabama,"Tallapoosa County, AL","40,337",14.63450,3.58068,9.23772,23.19053
2019,Alabama,"Tuscaloosa County, AL","210,321",14.13446,2.17191,10.51147,19.00620
2019,Alabama,"Walker County, AL","63,680",30.34450,5.38197,21.59781,42.63013
2019,Alabama,"Washington County, AL","16,279",8.56200,2.66201,4.83335,15.16810
2019,Alabama,"Wilcox County, AL","10,396",6.31750,2.25294,3.31618,12.03713
2019,Alabama,"Winston County, AL","23,700",13.77729,3.75438,8.29033,22.89849
2019,Alaska,"Aleutians East Borough, AK","3,355",15.85639,5.74306,8.25184,30.47440
