Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2017,Alabama,"Autauga County, AL","55,448",9.78468,2.41065,6.15719,15.54967
2017,Alabama,"Baldwin County, AL","212,737",15.09633,2.25661,11.31456,20.14172
2017,Alabama,"Barbour County, AL","25,169",5.77776,1.83033,3.23085,10.33424
2017,Alabama,"Bibb County, AL","22,532",21.66559,5.48145,13.47824,34.82828
2017,Alabama,"Blount County, AL","57,801",26.98683,5.14130,18.75479,38.83729
2017,Alabama,"Bullock County, AL","10,181",7.89511,2.78833,4.16647,14.96234
2017,Alabama,"Butler County, AL","19,911",9.75501,2.92861,5.60423,16.98132
2017,Alabama,"Calhoun County, AL","114,746",23.35241,3.73425,17.16729,31.77007
2017,Alabama,"Chambers County, AL","33,716",12.30169,3.20384,7.55573,20.02969
2017,Alabama,"Cherokee County, AL","25,822",17.27043,4.40516,10.70471,27.86067
2017,Alabama,"Chilton County, AL","44,085",17.43080,3.97214,11.32803,26.81826
2017,Alabama,"Choctaw County, AL","12,923",7.62560,2.53195,4.16071,13.97760
2017,Alabama,"Clarke County, AL","24,083",9.59235,2.83087,5.55790,16.55869
2017,Alabama,"Clay County, AL","13,355",11.66249,3.67187,6.54227,20.79433
2017,Alabama,"Cleburne County, AL","14,924",15.82911,4.58886,9.25076,27.08843
2017,Alabama,"Coffee County, AL","51,943",8.99198,2.30334,5.56384,14.53383
2017,Alabama,"Colbert County, AL","54,682",8.92503,2.25604,5.55440,14.34165
2017,Alabama,"Conecuh County, AL","12,431",17.89077,5.36384,10.28554,31.12371
2017,Alabama,"Coosa County, AL","10,724",13.76249,4.32268,7.72953,24.50841
2017,Alabama,"Covington County, AL","37,077",10.43431,2.74545,6.37960,17.06736
2017,Alabama,"Crenshaw County, AL","13,871",9.67902,3.13770,5.34836,17.52000
2017,Alabama,"Cullman County, AL","82,830",21.31053,3.90431,15.00804,30.26297
2017,Alabama,"Dale County, AL","49,467",9.15408,2.32391,5.68522,14.73637
2017,Alabama,"Dallas County, AL","39,263",7.42244,2.08739,4.40136,12.51940
2017,Alabama,"DeKalb County, AL","71,441",30.62443,5.24752,22.04197,42.55426
2017,Alabama,"Elmore County, AL","81,452",10.02869,2.27254,6.53336,15.39633
2017,Alabama,"Escambia County, AL","37,010",33.36817,6.76291,22.68394,49.08719
2017,Alabama,"Etowah County, AL","103,076",29.48985,4.50910,21.96335,39.60024
2017,Alabama,"Fayette County, AL","16,478",21.00242,5.69288,12.66877,34.82130
2017,Alabama,"Franklin County, AL","31,670",14.69315,3.84620,9.00426,23.97837
2017,Alabama,"Geneva County, AL","26,404",14.98898,3.99439,9.11286,24.66016
2017,Alabama,"Greene County, AL","8,312",6.37351,2.36121,3.27482,12.40617
2017,Alabama,"Hale County, AL","14,812",7.84055,2.60473,4.27722,14.37624
2017,Alabama,"Henry County, AL","17,105",9.63284,3.04046,5.39697,17.19772
