Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2010,Alabama,"Autauga County, AL","54,582",6.88091,1.78621,4.23284,11.18776
2010,Alabama,"Baldwin County, AL","182,263",13.88923,2.25397,10.16553,18.97893
2010,Alabama,"Barbour County, AL","27,454",3.74710,1.21041,2.07445,6.77017
2010,Alabama,"Bibb County, AL","22,904",12.08856,3.28184,7.28574,20.05587
2010,Alabama,"Blount County, AL","57,322",15.60014,3.40995,10.30833,23.61217
2010,Alabama,"Bullock County, AL","10,913",5.06249,1.81139,2.65255,9.66373
2010,Alabama,"Butler County, AL","20,940",7.20939,2.20477,4.10454,12.66694
2010,Alabama,"Calhoun County, AL","118,533",14.43458,2.66058,10.14560,20.54072
2010,Alabama,"Chambers County, AL","34,154",9.39575,2.52670,5.68907,15.52246
2010,Alabama,"Cherokee County, AL","25,984",12.56708,3.33430,7.65512,20.63381
2010,Alabama,"Chilton County, AL","43,625",16.68293,3.84299,10.79786,25.78330
2010,Alabama,"Choctaw County, AL","13,858",5.22178,1.75599,2.83024,9.63673
2010,Alabama,"Clarke County, AL","25,834",5.61804,1.71828,3.19802,9.87099
2010,Alabama,"Clay County, AL","13,930",6.72594,2.17841,3.71821,12.16872
2010,Alabama,"Cleburne County, AL","14,972",11.14892,3.32453,6.42752,19.34447
2010,Alabama,"Coffee County, AL","49,951",6.26987,1.69107,3.79113,10.37209
2010,Alabama,"Colbert County, AL","54,430",5.57415,1.49752,3.37605,9.20402
2010,Alabama,"Conecuh County, AL","13,232",9.85869,3.07463,5.55652,17.49243
2010,Alabama,"Coosa County, AL","11,756",8.92635,2.85855,4.96406,16.05561
2010,Alabama,"Covington County, AL","37,762",6.72488,1.85386,4.02511,11.23717
2010,Alabama,"Crenshaw County, AL","13,891",5.56343,1.85275,3.03085,10.21388
2010,Alabama,"Cullman County, AL","80,404",10.50338,2.31291,6.91970,15.94252
2010,Alabama,"Dale County, AL","50,253",7.39940,1.92814,4.54406,12.05123
2010,Alabama,"Dallas County, AL","43,813",4.64553,1.35156,2.71045,7.96392
2010,Alabama,"DeKalb County, AL","71,090",13.93197,2.96176,9.30422,20.86233
2010,Alabama,"Elmore County, AL","79,279",7.02151,1.70778,4.44348,11.09869
2010,Alabama,"Escambia County, AL","38,325",22.22313,4.90485,14.62925,33.76353
2010,Alabama,"Etowah County, AL","104,412",12.70238,2.50683,8.71854,18.50764
2010,Alabama,"Fayette County, AL","17,237",12.64418,3.59298,7.46053,21.43157
2010,Alabama,"Franklin County, AL","31,708",13.07935,3.34788,8.09594,21.13396
2010,Alabama,"Geneva County, AL","26,783",9.15624,2.57540,5.42948,15.44556
2010,Alabama,"Greene County, AL","9,039",4.06329,1.51888,2.07727,7.94978
2010,Alabama,"Hale County, AL","15,762",4.76007,1.61318,2.56933,8.82122
2010,Alabama,"Henry County, AL","17,296",5.24602,1.71279,2.88791,9.53108
2010,Alabama,"Houston County, AL","101,562",10.42442,2.18884,6.99514,15.53814
2010,Alabama,"Jackson County, AL","53,248",7.87809,2.00054,4.89330,12.68497
2010,Alabama,"Jefferson County, AL","658,564",9.99177,1.12609,8.02751,12.43695
2010,Alabama,"Lamar County, AL","14,564",6.44510,2.10910,3.54371,11.72361
2010,Alabama,"Lauderdale County, AL","92,709",9.66072,2.11297,6.38254,14.62625
2010,Alabama,"Lawrence County, AL","34,308",11.98059,3.08285,7.39916,19.40433
2010,Alabama,"Lee County, AL","140,300",5.93869,1.31709,3.90209,9.03996
2010,Alabama,"Limestone County, AL","82,775",10.17203,2.27107,6.66709,15.52595
2010,Alabama,"Lowndes County, AL","11,302",4.22759,1.52094,2.20842,8.09459
2010,Alabama,"Macon County, AL","21,459",4.58944,1.48190,2.54114,8.29010
2010,Alabama,"Madison County, AL","334,812",9.79977,1.45285,7.36225,13.04574
2010,Alabama,"Marengo County, AL","21,047",4.23834,1.39561,2.32314,7.73522
2010,Alabama,"Marion County, AL","30,780",5.78738,1.72090,3.34127,10.02792
2010,Alabama,"Marshall County, AL","93,017",10.57597,2.25210,7.05867,15.84727
2010,Alabama,"Mobile County, AL","413,139",11.05621,1.44538,8.58409,14.24122
2010,Alabama,"Monroe County, AL","23,066",7.03303,2.09930,4.05218,12.20842
2010,Alabama,"Montgomery County, AL","229,365",6.38678,1.23111,4.42075,9.22921
2010,Alabama,"Morgan County, AL","119,519",14.04237,2.59715,9.85817,20.00513
2010,Alabama,"Perry County, AL","10,577",4.81518,1.73346,2.51453,9.22309
2010,Alabama,"Pickens County, AL","19,746",8.70940,2.55798,5.05770,14.99871
2010,Alabama,"Pike County, AL","32,902",6.73912,1.95492,3.93829,11.53752
2010,Alabama,"Randolph County, AL","22,916",10.48720,2.98028,6.18889,17.77776
2010,Alabama,"Russell County, AL","52,966",11.66042,2.76301,7.45999,18.23066
2010,Alabama,"St. Clair County, AL","83,366",17.26895,3.33759,11.94103,24.97648
2010,Alabama,"Shelby County, AL","195,257",13.09919,2.11826,9.59742,17.88030
2010,Alabama,"Sumter County, AL","13,763",3.30206,1.20119,1.71432,6.36177
2010,Alabama,"Talladega County, AL","82,348",9.08095,2.06675,5.90576,13.96582
2010,Alabama,"Tallapoosa County, AL","41,621",7.60211,2.02881,4.61853,12.51496
2010,Alabama,"Tuscaloosa County, AL","194,678",12.96801,2.10704,9.48790,17.72671
2010,Alabama,"Walker County, AL","67,019",39.49173,6.33151,29.00978,53.76895
2010,Alabama,"Washington County, AL","17,580",5.99874,1.89326,3.36094,10.70915
2010,Alabama,"Wilcox County, AL","11,664",4.10461,1.47761,2.14345,7.86187
2010,Alabama,"Winston County, AL","24,488",8.89838,2.52436,5.25484,15.07099
2010,Alaska,"Aleutians East Borough, AK","3,141",10.32270,3.78112,5.33849,19.96531
2010,Alaska,"Aleutians West Census Area, AK","5,561",7.94610,2.93793,4.08758,15.44985
2010,Alaska,"Anchorage Borough, AK","292,252",13.72846,1.88689,10.52468,17.90843
2010,Alaska,"Bethel Census Area, AK","17,013",7.36783,2.24505,4.20175,12.92104
2010,Alaska,"Bristol Bay Borough, AK",997,12.42417,5.76045,5.57460,27.69505
2010,Alaska,"Denali Borough, AK","1,827",9.45065,4.09251,4.42658,20.18032
2010,Alaska,"Dillingham Census Area, AK","4,847",11.87267,4.35073,6.13837,22.96843
2010,Alaska,"Fairbanks North Star Borough, AK","97,585",10.69869,2.24929,7.17528,15.95397
2010,Alaska,"Haines Borough, AK","2,508",8.01136,3.48925,3.73904,17.16796
2010,Alaska,"Juneau Borough, AK","31,276",15.04454,3.74278,9.42896,24.01038
2010,Alaska,"Kenai Peninsula Borough, AK","55,397",14.11113,3.15894,9.23669,21.55795
2010,Alaska,"Ketchikan Gateway Borough, AK","13,534",10.71337,3.22563,6.14593,18.67619
2010,Alaska,"Kodiak Island Borough, AK","13,606",10.90482,3.26644,6.27249,18.96268
2010,Alaska,"Lake and Peninsula Borough, AK","1,635",10.86261,4.79628,5.02678,23.47735
2010,Alaska,"Matanuska-Susitna Borough, AK","88,981",13.29567,2.70075,9.03101,19.57478
2010,Alaska,"Nome Census Area, AK","9,492",7.49690,2.57247,4.01923,13.98602
2010,Alaska,"North Slope Borough, AK","9,018",7.54724,2.56544,4.06684,14.00849
2010,Alaska,"Northwest Arctic Borough, AK","7,523",4.72338,1.94412,2.28207,9.77804
2010,Alaska,"Prince of Wales-Outer Ketchikan Census Area, AK","6,168",9.91482,3.27285,5.42644,18.11751
2010,Alaska,"Sitka Borough, AK","8,881",11.66408,3.78124,6.44538,21.11347
2010,Alaska,"Skagway-Hoonah-Angoon Census Area, AK","3,063",7.60363,3.22042,3.61034,16.01615
2010,Alaska,"Southeast Fairbanks Census Area, AK","7,029",8.70318,2.96434,4.68471,16.17172
2010,Alaska,"Valdez-Cordova Census Area, AK","6,684",14.04759,4.55505,7.76090,25.43052
2010,Alaska,"Wade Hampton Census Area, AK","7,459",7.17997,2.62005,3.72094,13.85721
2010,Alaska,"Wrangell-Petersburg Census Area, AK","5,572",15.21398,5.14498,8.22139,28.16180
2010,Alaska,"Yakutat Borough, AK",662,9.50760,3.95872,4.56137,19.81959
2010,Alaska,"Yukon-Koyukuk Census Area, AK","5,583",10.27710,3.62976,5.42376,19.47759
2010,Arizona,"Apache County, AZ","71,514",8.87552,2.08703,5.69596,13.83216
2010,Arizona,"Cochise County, AZ","131,359",16.65218,2.83988,12.00335,23.10458
2010,Arizona,"Coconino County, AZ","134,435",12.95853,2.36945,9.13222,18.39030
2010,Arizona,"Gila County, AZ","53,592",19.37086,4.07078,12.99324,28.88100
2010,Arizona,"Graham County, AZ","37,212",16.30651,3.87842,10.41579,25.53378
2010,Arizona,"Greenlee County, AZ","8,444",13.40972,4.29005,7.46072,24.10694
2010,Arizona,"La Paz County, AZ","20,489",20.98595,5.34754,13.01675,33.84380
2010,Arizona,"Maricopa County, AZ","3,817,371",15.94624,0.63948,14.74212,17.24912
2010,Arizona,"Mohave County, AZ","200,181",30.42126,3.54427,24.26504,38.14241
2010,Arizona,"Navajo County, AZ","107,488",16.52589,3.00496,11.66791,23.40953
2010,Arizona,"Pima County, AZ","980,266",20.77831,1.41148,18.19608,23.72790
2010,Arizona,"Pinal County, AZ","375,766",13.10412,1.66371,10.24696,16.75936
2010,Arizona,"Santa Cruz County, AZ","47,417",8.79041,2.23247,5.45982,14.15484
2010,Arizona,"Yavapai County, AZ","211,008",21.61484,2.82724,16.77962,27.84528
2010,Arizona,"Yuma County, AZ","195,750",11.49058,1.93951,8.30936,15.89143
2010,Arkansas,"Arkansas County, AR","19,045",7.94420,2.35640,4.59127,13.74741
2010,Arkansas,"Ashley County, AR","21,845",9.66885,2.77223,5.68110,16.45925
2010,Arkansas,"Baxter County, AR","41,511",12.46999,3.03711,7.88512,19.72007
2010,Arkansas,"Benton County, AR","221,348",12.58922,1.97818,9.30271,17.03911
2010,Arkansas,"Boone County, AR","36,918",10.67714,2.74593,6.59492,17.28792
2010,Arkansas,"Bradley County, AR","11,505",5.67333,1.98144,3.01251,10.68628
