Year,State,County,Population,Model-based Death Rate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit
2011,Pennsylvania,"Armstrong County, PA","68,661",22.12264,4.21089,15.37845,31.82657
2011,Pennsylvania,"Beaver County, PA","170,330",21.96134,3.10109,16.71780,28.85169
2011,Pennsylvania,"Bedford County, PA","49,626",17.07243,3.77873,11.22624,25.96700
2011,Pennsylvania,"Berks County, PA","413,027",15.42982,1.76308,12.35994,19.26351
2011,Pennsylvania,"Blair County, PA","126,990",19.64606,3.20626,14.35445,26.89104
2011,Pennsylvania,"Bradford County, PA","63,111",13.44460,2.98192,8.83380,20.46606
2011,Pennsylvania,"Bucks County, PA","626,164",21.38240,1.76433,18.20393,25.11700
2011,Pennsylvania,"Butler County, PA","184,766",16.67243,2.52698,12.44786,22.33216
2011,Pennsylvania,"Cambria County, PA","142,590",22.15412,3.32515,16.58536,29.59207
2011,Pennsylvania,"Cameron County, PA","5,012",10.97895,3.90757,5.76962,20.89631
2011,Pennsylvania,"Carbon County, PA","65,084",21.46072,4.18369,14.79443,31.13332
2011,Pennsylvania,"Centre County, PA","155,107",6.77052,1.41976,4.54516,10.08643
2011,Pennsylvania,"Chester County, PA","503,488",14.28903,1.55146,11.57096,17.64672
2011,Pennsylvania,"Clarion County, PA","39,904",10.99306,2.77977,6.84052,17.66770
2011,Pennsylvania,"Clearfield County, PA","81,438",13.38353,2.78251,9.01336,19.87422
2011,Pennsylvania,"Clinton County, PA","39,511",12.45372,3.10780,7.79501,19.90219
2011,Pennsylvania,"Columbia County, PA","67,085",12.14632,2.70710,7.96483,18.52429
2011,Pennsylvania,"Crawford County, PA","88,176",15.61742,3.05297,10.75535,22.67795
2011,Pennsylvania,"Cumberland County, PA","237,151",10.60162,1.72436,7.75385,14.49625
2011,Pennsylvania,"Dauphin County, PA","269,278",12.72980,1.85570,9.60754,16.86739
2011,Pennsylvania,"Delaware County, PA","559,338",26.29857,2.07841,22.54043,30.68462
2011,Pennsylvania,"Elk County, PA","31,798",13.37132,3.39939,8.30068,21.54028
2011,Pennsylvania,"Erie County, PA","281,244",17.28074,2.20478,13.49684,22.12700
2011,Pennsylvania,"Fayette County, PA","136,008",29.29556,4.04003,22.43982,38.24919
2011,Pennsylvania,"Forest County, PA","7,672",12.59979,4.19202,6.86852,23.12136
2011,Pennsylvania,"Franklin County, PA","150,949",10.02344,1.90998,6.96517,14.42566
2011,Pennsylvania,"Fulton County, PA","14,738",15.46692,4.37982,9.14067,26.17214
2011,Pennsylvania,"Greene County, PA","38,377",23.69947,5.15972,15.68425,35.81553
2011,Pennsylvania,"Huntingdon County, PA","46,013",9.41808,2.36003,5.88251,15.07592
2011,Pennsylvania,"Indiana County, PA","88,639",23.69035,4.09701,17.00138,33.01545
2011,Pennsylvania,"Jefferson County, PA","44,917",16.06540,3.68940,10.41016,24.79695
2011,Pennsylvania,"Juniata County, PA","24,711",8.10057,2.36492,4.71810,13.90984
2011,Pennsylvania,"Lackawanna County, PA","214,400",19.87870,2.66952,15.33040,25.77771
2011,Pennsylvania,"Lancaster County, PA","523,996",11.47241,1.34283,9.14126,14.39891
2011,Pennsylvania,"Lawrence County, PA","90,526",24.14947,4.11497,17.41164,33.49720
2011,Pennsylvania,"Lebanon County, PA","134,530",6.44352,1.40883,4.25596,9.75246
2011,Pennsylvania,"Lehigh County, PA","353,317",17.15204,2.00104,13.67682,21.51170
2011,Pennsylvania,"Luzerne County, PA","321,073",17.91044,2.13453,14.21323,22.57018
2011,Pennsylvania,"Lycoming County, PA","116,747",10.66384,2.14096,7.27403,15.63313
2011,Pennsylvania,"Mc Kean County, PA","43,143",13.84329,3.30792,8.82526,21.71871
2011,Pennsylvania,"Mercer County, PA","116,169",17.35213,3.03009,12.41324,24.25596
2011,Pennsylvania,"Mifflin County, PA","46,745",10.87445,2.66380,6.85883,17.23843
2011,Pennsylvania,"Monroe County, PA","169,921",14.82541,2.40860,10.84665,20.26448
2011,Pennsylvania,"Montgomery County, PA","805,333",14.27726,1.26218,12.01760,16.96258
2011,Pennsylvania,"Montour County, PA","18,363",15.37128,4.20295,9.23447,25.58700
2011,Pennsylvania,"Northampton County, PA","298,305",15.46016,2.01388,12.01395,19.89628
2011,Pennsylvania,"Northumberland County, PA","94,392",14.34850,2.81746,9.86583,20.86831
2011,Pennsylvania,"Perry County, PA","45,924",14.06943,3.30795,9.02946,21.92535
2011,Pennsylvania,"Philadelphia County, PA","1,540,615",28.40389,1.33786,25.90275,31.14735
2011,Pennsylvania,"Pike County, PA","57,104",19.57417,4.05366,13.20215,29.02535
2011,Pennsylvania,"Potter County, PA","17,448",10.41884,3.05829,6.05216,17.93771
2011,Pennsylvania,"Schuylkill County, PA","147,536",17.70733,2.84126,13.00337,24.11368
2011,Pennsylvania,"Snyder County, PA","39,785",6.93467,1.88809,4.17440,11.52094
2011,Pennsylvania,"Somerset County, PA","77,287",14.11272,2.92896,9.51001,20.94245
2011,Pennsylvania,"Sullivan County, PA","6,417",13.06414,4.34197,7.12513,23.95963
2011,Pennsylvania,"Susquehanna County, PA","43,222",16.03020,3.70656,10.35824,24.81076
2011,Pennsylvania,"Tioga County, PA","42,278",8.20710,2.14764,5.02971,13.39089
2011,Pennsylvania,"Union County, PA","45,130",6.91464,1.87236,4.17352,11.45961
2011,Pennsylvania,"Venango County, PA","54,679",19.79150,4.13996,13.29951,29.45825
2011,Pennsylvania,"Warren County, PA","41,512",8.76219,2.28361,5.38013,14.27115
2011,Pennsylvania,"Washington County, PA","208,089",19.32088,2.65362,14.81478,25.19897
2011,Pennsylvania,"Wayne County, PA","52,732",18.30799,3.92687,12.18547,27.50865
2011,Pennsylvania,"Westmoreland County, PA","364,450",21.94485,2.27659,17.93545,26.85188
2011,Pennsylvania,"Wyoming County, PA","28,319",19.90397,4.80095,12.63800,31.34852
2011,Pennsylvania,"York County, PA","436,749",13.61858,1.60072,10.84113,17.10840
2012,Pennsylvania,"Adams County, PA","101,265",9.33102,2.00558,6.20537,14.03115
2012,Pennsylvania,"Allegheny County, PA","1,231,129",22.80103,1.33027,20.34285,25.55706
2012,Pennsylvania,"Armstrong County, PA","68,223",21.29045,4.10210,14.73737,30.75900
2012,Pennsylvania,"Beaver County, PA","170,091",20.23232,2.94620,15.27461,26.80089
2012,Pennsylvania,"Bedford County, PA","49,592",14.84837,3.37865,9.65654,22.83260
